id;nom;url;statut;motif_refus;date_ajout;date_traitement;type_document_id;demarcheur_id
1;après enfoncer recta;https://triangulaire-biathlete.name;REFUSE;autour de nettoyer meuh;2023-12-15T19:53:58;2023-12-15T15:53:46;1;1
2;commencer;https://novice-specialiste.net/;REFUSE;à l'encontre de large;2023-12-16T02:12:15;2023-12-16T06:55:12;2;2
3;meuh;https://gai-porte-parole.com;REFUSE;au cas où alimenter;2023-12-16T03:21:53;2023-12-15T20:43:19;3;1
4;biathlète applaudir très;https://sage-conseil-municipal.org;REFUSE;ouf;2023-12-15T11:09:27;2023-12-15T21:51:50;4;2
5;sauf tellement;https://solitaire-administration.info;VALIDE;par rapport à par suite de;2023-12-15T17:00:20;2023-12-15T21:29:31;5;1
6;présidence;https://fourbe-membre-du-personnel.eu;REFUSE;débile;2023-12-15T15:08:20;2023-12-15T13:35:56;6;1
7;adorable;https://minuscule-population-du-quebec.fr/;EN_ATTENTE;lunatique paf fonctionnaire;2023-12-16T04:25:15;2023-12-15T17:31:36;7;1
8;snif;https://agreable-conseil-municipal.eu/;REFUSE;sitôt que camarade mature;2023-12-16T07:41:47;2023-12-16T07:54:00;8;1
9;d'abord dring novice;https://mature-hote.info/;REFUSE;extatique communauté étudiante au lieu de;2023-12-16T00:48:11;2023-12-16T02:08:15;9;2
10;plouf vivace;https://gai-biathlete.info;VALIDE;groin groin quasiment;2023-12-15T13:08:55;2023-12-15T08:46:52;10;1
11;ding agréable rédaction;https://serviable-chef-de-cuisine.info/;VALIDE;foule d’autant que aïe;2023-12-16T02:00:52;2023-12-15T21:03:50;11;2
12;parce que;https://charitable-commis-de-cuisine.eu/;REFUSE;pourvu que ainsi après que;2023-12-16T00:20:00;2023-12-15T09:24:07;12;2
13;vroum espiègle tellement;https://hypocrite-cadre.name;VALIDE;jurer mentir;2023-12-15T10:48:43;2023-12-15T12:48:30;13;2
14;sous plier;https://terne-cadre.name/;REFUSE;flatter accuser;2023-12-15T16:11:31;2023-12-15T19:31:49;14;2
15;au lieu de égoïste;https://melancolique-athlete.name/;EN_ATTENTE;de crainte que pendant que;2023-12-15T16:03:56;2023-12-15T15:38:21;15;1
16;mince complètement forcer;https://extra-specialiste.info/;REFUSE;pschitt serviable à défaut de;2023-12-16T04:34:27;2023-12-16T02:19:16;16;1
17;infiniment bzzz aussi;https://enorme-conseil-dadministration.eu;REFUSE;hors énorme intrépide;2023-12-15T13:00:24;2023-12-16T06:10:56;17;1
18;à demi;https://incalculable-chef-de-cuisine.com/;REFUSE;commissionnaire;2023-12-15T10:06:27;2023-12-16T07:08:09;18;1
19;si bien que malade pour que;https://jeune-parlementaire.info/;VALIDE;apporter;2023-12-15T18:12:26;2023-12-15T08:24:26;19;1
20;commissionnaire;https://vide-population-du-quebec.net/;VALIDE;spécialiste;2023-12-15T20:40:41;2023-12-16T00:40:33;20;1
21;athlète acheter;https://magenta-chef.com/;VALIDE;rectorat sincère;2023-12-15T17:24:49;2023-12-16T04:35:03;21;2
22;serviable diriger;https://incalculable-equipe-de-recherche.eu/;VALIDE;manger grâce à du fait que;2023-12-15T11:33:26;2023-12-15T17:50:12;22;2
23;autour de;https://acre-commis.name/;REFUSE;à l'égard de;2023-12-15T23:24:57;2023-12-15T21:33:06;23;1
24;toc;https://orange-diplomate.com/;VALIDE;sombrer nonobstant hôte;2023-12-16T07:09:26;2023-12-15T19:39:50;24;2
25;au prix de ci secouriste;https://sincere-adepte.info/;EN_ATTENTE;rédaction;2023-12-16T03:23:27;2023-12-15T11:02:12;25;2
26;présidence porte-parole;https://raide-diplomate.net;EN_ATTENTE;meubler;2023-12-15T16:45:10;2023-12-15T19:12:27;26;2
27;cocorico;https://circulaire-prestataire-de-services.eu/;REFUSE;biathlète sous adversaire;2023-12-15T10:56:25;2023-12-16T02:19:01;27;1
28;gueuler;https://magenta-biathlete.eu/;REFUSE;pisser;2023-12-16T00:24:30;2023-12-16T01:42:20;28;2
29;si bien que vétuste en;https://vide-gens.net;REFUSE;lors personnel comme;2023-12-16T04:42:37;2023-12-15T22:51:25;29;1
30;puisque de crainte que ding;https://infime-touriste.info;EN_ATTENTE;tant à travers;2023-12-15T21:46:04;2023-12-16T06:18:57;30;2
