id;token;plateforme;date_creation;utilisateur_id
1;commissionnaire tâcher infiniment;zzzz gratis;2023-12-16T08:11:05;1
2;apercevoir ouin passablement;murmurer zzzz rapide;2023-12-16T02:38:06;2
3;désormais fade;séduire espiègle par;2023-12-15T20:25:39;1
4;à l'insu de à l'instar de;tendre;2023-12-15T14:13:48;1
5;intéresser plaider;subito;2023-12-16T04:25:20;1
6;si bien que;membre titulaire;2023-12-16T07:13:03;1
7;puisque;bien que apprendre a;2023-12-15T20:19:22;2
8;abuser;ha svelte puisque;2023-12-15T09:09:46;2
9;au-dessus au-dessus de;avant que;2023-12-16T05:40:34;2
10;perplexe fourbe;d'après insolite abs;2023-12-15T22:52:32;1
11;approcher hypocrite;à l'instar de écrase;2023-12-16T03:32:05;1
12;de sorte que deçà;magnifique pff sympa;2023-12-15T18:34:50;1
13;administration partenaire insolite;membre de l’équipe q;2023-12-16T07:46:07;2
14;population du Québec;avare détacher;2023-12-15T09:09:19;1
15;commissionnaire hormis;zzzz aigre prout;2023-12-15T21:52:56;1
16;clientèle biathlète;de manière à ce que;2023-12-16T03:13:55;1
17;super;main-d’œuvre davanta;2023-12-16T06:42:01;2
18;magenta;bof;2023-12-15T21:38:49;1
19;commis de cuisine;affronter;2023-12-15T21:38:07;2
20;ouah enfin;mieux;2023-12-15T22:52:01;1
21;trop;un peu;2023-12-15T11:37:17;1
22;craquer;commis de cuisine;2023-12-15T22:08:03;1
23;camarade tsoin-tsoin commissionnaire;infime antique paf;2023-12-15T12:42:33;2
24;snif;accentuer suivant;2023-12-15T10:38:40;1
25;actionnaire lorsque hors;depuis quant à;2023-12-16T02:18:25;1
26;hi au prix de;étudier planter;2023-12-15T11:57:56;1
27;bien que vraiment personnel;inspirer gestionnair;2023-12-15T22:40:06;1
28;membre à vie;nettoyer;2023-12-15T12:06:53;2
29;neutre en plus de;sans écarter hôte;2023-12-15T20:27:59;1
30;revoir;paf intrépide commis;2023-12-15T18:57:45;2
